Station,year,day,dir,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
Bond Street,2016,MTT,IN,8,12,23,31,37,48,61,71,89,107,127,149,172,188,209,222,234,244,260,277,300,318,344,372,402,434,480,525,569,605,646,677,711,740,778,812,847,869,914,955,997,1046,1133,1210,1300,1388,1570,1708,1920,2074,2272,2350,2357,2226,2124,1924,1692,1506,1373,1245,1128,1046,999,952,903,859,827,769,710,631,573,506,444,367,315,255,189,130,83,40,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bond Street,2016,MTT,OUT,7,25,57,129,225,365,544,718,860,1020,1211,1417,1690,1928,2042,2059,1954,1726,1477,1287,1127,1018,953,932,948,954,966,986,1029,1052,1070,1076,1082,1052,1019,982,963,934,929,931,937,942,966,977,1005,1035,1042,1069,1090,1126,1139,1167,1139,1088,979,855,712,579,467,374,313,264,224,191,166,145,131,118,108,98,88,79,70,62,51,42,31,23,14,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bond Street,2016,SAT,IN,8,13,18,21,22,27,31,35,38,42,43,43,44,49,55,63,75,92,113,137,163,190,217,248,283,322,366,415,464,524,589,649,698,744,778,807,838,884,940,1007,1073,1144,1217,1288,1356,1434,1510,1573,1613,1637,1644,1635,1603,1562,1504,1425,1318,1211,1115,1031,949,888,852,821,782,743,699,647,585,534,493,462,424,383,349,308,262,215,178,142,114,90,69,48,25,8,0,0,0,0,0,0,0,0,0,0
Bond Street,2016,SAT,OUT,5,12,28,52,92,141,209,264,310,329,344,352,387,429,497,572,653,718,781,832,886,924,964,1001,1057,1100,1151,1200,1248,1288,1330,1347,1361,1358,1329,1301,1285,1252,1245,1251,1250,1249,1254,1235,1218,1190,1148,1107,1072,1009,954,898,839,777,725,658,597,536,478,426,381,335,292,253,217,191,174,162,153,144,133,124,111,102,87,76,63,50,37,30,26,22,19,16,11,6,2,0,0,0,0,0,0,0,0,0
Bond Street,2016,SUN,IN,8,11,15,17,19,21,25,28,31,33,35,36,37,38,44,53,63,74,86,100,112,126,142,157,172,190,212,244,282,331,382,435,480,527,567,611,650,691,725,766,801,840,884,937,974,1007,1035,1063,1064,1107,1189,1286,1302,1276,1159,977,757,601,490,421,363,322,280,255,237,230,221,215,202,191,185,181,172,154,119,80,44,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bond Street,2016,SUN,OUT,3,5,10,16,26,37,50,65,92,119,156,188,212,227,237,248,270,326,384,461,547,626,700,765,833,877,948,988,1037,1041,1041,1019,994,961,941,947,929,924,901,897,858,827,799,776,746,713,686,636,595,536,494,439,398,353,319,283,250,221,187,158,132,117,100,94,87,81,73,68,60,55,49,46,39,36,29,21,13,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tottenham Court Road,2016,MTT,IN,0,12,19,25,32,39,39,47,59,75,95,120,143,162,180,195,205,215,223,230,240,246,258,278,304,324,361,401,438,472,519,559,593,623,654,678,700,717,746,784,821,868,943,1016,1121,1213,1370,1515,1736,1923,2150,2296,2339,2234,2082,1846,1576,1369,1225,1103,1027,983,965,941,919,940,972,1019,1032,1012,942,857,735,624,538,446,316,204,120,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tottenham Court Road,2016,MTT,OUT,0,2,16,55,127,229,369,530,705,862,1010,1176,1353,1515,1650,1784,1861,1804,1674,1508,1310,1097,957,858,811,776,759,764,792,811,825,832,836,823,800,781,773,753,733,732,743,740,756,785,801,827,852,895,956,1035,1107,1201,1217,1185,1108,995,829,685,551,443,350,288,248,218,196,175,160,149,138,129,118,109,97,88,75,65,51,37,24,14,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tottenham Court Road,2016,SAT,IN,27,38,46,46,45,45,43,44,45,46,47,49,52,59,68,81,96,114,134,156,179,202,226,246,267,290,319,352,394,445,503,557,604,639,669,695,719,750,793,838,882,939,1006,1070,1125,1176,1237,1319,1395,1443,1465,1446,1366,1273,1195,1126,1049,986,932,883,845,823,811,799,794,837,937,1041,1105,1125,1098,1026,944,881,852,803,711,605,522,460,393,336,261,188,99,38,2,1,1,1,1,1,1,2,2,2
Tottenham Court Road,2016,SAT,OUT,8,16,32,48,69,100,139,184,230,268,287,298,294,293,304,339,391,458,533,608,678,739,789,835,883,937,973,1027,1088,1139,1177,1251,1292,1314,1333,1336,1311,1300,1258,1213,1186,1150,1104,1098,1085,1069,1064,1053,1037,1042,1024,997,984,977,951,936,911,867,803,737,674,615,567,524,491,457,429,406,385,363,337,315,292,271,242,222,190,154,117,93,73,60,51,40,28,14,5,1,0,0,0,0,0,0,0,0
Tottenham Court Road,2016,SUN,IN,33,44,53,53,48,46,45,47,48,50,52,52,51,54,60,70,82,99,117,136,154,169,184,196,203,209,222,245,291,359,427,482,525,551,565,585,615,661,715,772,821,869,898,911,913,924,941,973,1015,1078,1135,1155,1111,1032,919,801,711,679,668,660,635,601,564,533,498,473,460,442,419,408,402,384,342,261,182,109,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Tottenham Court Road,2016,SUN,OUT,6,11,16,25,31,42,54,73,100,130,147,169,185,192,201,232,277,329,385,452,530,613,711,798,891,930,959,946,956,935,967,969,995,994,979,955,926,908,880,894,879,901,887,883,852,807,754,703,673,640,644,622,613,561,513,446,382,328,288,260,230,211,183,168,146,135,122,116,109,103,95,87,82,63,48,32,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxford Circus,2016,MTT,IN,8,18,30,41,54,63,81,93,110,126,153,171,200,221,254,276,309,336,387,430,490,539,605,660,725,783,874,960,1055,1141,1247,1333,1411,1472,1554,1621,1675,1727,1810,1850,1885,1929,2055,2151,2304,2457,2811,2993,3345,3550,3808,3872,3938,3796,3743,3554,3309,3103,2970,2822,2688,2554,2488,2338,2168,2031,1941,1804,1670,1554,1455,1313,1152,991,830,655,452,287,166,74,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxford Circus,2016,MTT,OUT,4,32,129,260,460,696,981,1249,1501,1769,2120,2553,3105,3584,3978,4214,4229,3939,3619,3179,2791,2423,2158,1985,1949,1888,1902,1941,1980,2005,2021,1999,2004,1968,1911,1885,1879,1822,1826,1833,1872,1921,1979,2034,2143,2167,2204,2277,2388,2469,2555,2628,2613,2457,2195,1912,1566,1248,981,799,655,538,458,389,330,282,245,214,195,176,158,140,124,102,85,67,51,36,24,13,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxford Circus,2016,SAT,IN,31,43,55,59,58,62,66,69,69,72,74,74,76,83,95,112,132,162,199,244,294,350,413,483,558,638,734,836,945,1061,1179,1294,1407,1517,1625,1727,1819,1928,2056,2192,2345,2520,2695,2852,2996,3111,3236,3352,3447,3493,3533,3510,3425,3302,3190,3027,2834,2640,2505,2378,2244,2139,2060,1924,1764,1666,1605,1580,1570,1579,1569,1531,1438,1323,1224,1122,970,815,696,595,477,392,298,208,106,38,1,1,0,0,0,0,0,1,1,1
Oxford Circus,2016,SAT,OUT,16,44,81,124,177,259,335,411,472,511,522,545,578,641,758,923,1102,1311,1508,1681,1873,2035,2158,2336,2511,2623,2765,2876,2945,3044,3092,3096,3155,3133,3036,3015,2966,2880,2888,2894,2880,2892,2862,2816,2759,2689,2588,2544,2433,2358,2228,2131,1971,1866,1709,1577,1441,1324,1179,1080,982,873,787,707,629,574,530,497,485,462,436,411,373,323,286,247,199,162,126,107,80,78,63,52,28,18,3,1,0,0,0,0,0,0,0,0
